"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Low-Complexity Transformed Encoder Architectures for Quasi-Cyclic Nonbinary LDPC Codes Over Subfields","X. Zhang; Y. Tai","Western Digital Corporation, San Jose, CA, USA; Western Digital Corporation, San Jose, CA, USA","IEEE Transactions on Very Large Scale Integration (VLSI) Systems","","2017","25","4","1342","1351","Quasi-cyclic low-density parity-check (QC-LDPC) codes are adopted in many digital communication and storage systems. The encoding of these codes is traditionally done by multiplying the message vector with a generator matrix consisting of dense circulant submatrices. To reduce the encoder complexity, this paper introduces two schemes making use of finite Fourier transform. We focus on QC-LDPC codes whose circulant submatrices are of dimension (2r- 1) × (2r- 1) and the entries are elements of GF(2p), where p divides r, and hence, GF(2p) is a subfield of GF(2r). These cover a broad range of codes, and binary LDPC codes are a special case. Making use of conjugacy constraints, low-complexity architectures are developed for finite Fourier and inverse transforms over subfields in this paper. In addition, composite field arithmetic is exploited to eliminate the computations associated with message mapping and reduce the complexity of Fourier transform. For a (2016, 1074) nonbinary QC-LDPC code whose generator matrix consists of circulants of dimension 63 × 63 with GF(22) entries, the proposed encoders achieve 22% area reduction compared with the conventional encoders without sacrificing the throughput.","1063-8210;1557-9999","","10.1109/TVLSI.2016.2630055","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7779152","Encoder;finite field;Fourier transform;low-density parity-check (LDPC) codes;nonbinary (NB);quasi-cyclic (QC);VLSI architecture","Encoding;Fourier transforms;Computer architecture;Generators;Complexity theory;Parity check codes;Decoding","cyclic codes;Fourier transforms;inverse transforms;matrix algebra;parity check codes","composite field arithmetic;inverse transforms;conjugacy constraints;circulant submatrices;finite Fourier transform;encoder complexity;message vector;generator matrix;storage system;digital communication;QC-LDPC code;quasicyclic nonbinary low-density parity-check code;low-complexity transformed encoder architecture","","","","12","","","","","IEEE","IEEE Journals & Magazines"
"On t-designs and bounds relating query complexity to error resilience in locally correctable codes","V. Lalitha; N. Prakash; G. M. Kamath; P. V. Kumar","Dept. of ECE, Indian Institute of Science, Bangalore - 560012, India; Dept. of ECE, Indian Institute of Science, Bangalore - 560012, India; Dept. of ECE, Indian Institute of Science, Bangalore - 560012, India; Dept. of ECE, Indian Institute of Science, Bangalore - 560012, India","2012 National Conference on Communications (NCC)","","2012","","","1","5","An n-length block code C is said to be r-query locally correctable, if for any codeword x ∈ C, one can probabilistically recover any one of the n coordinates of the codeword x by querying at most r coordinates of a possibly corrupted version of x. It is known that linear codes whose duals contain 2-designs are locally correctable. In this article, we consider linear codes whose duals contain t-designs for larger t. It is shown here that for such codes, for a given number of queries r, under linear decoding, one can, in general, handle a larger number of corrupted bits. We exhibit to our knowledge, for the first time, a finite length code, whose dual contains 4-designs, which can tolerate a fraction of up to 0.567/r corrupted symbols as against a maximum of 0.5/r in prior constructions. We also present an upper bound that shows that 0.567 is the best possible for this code length and query complexity over this symbol alphabet thereby establishing optimality of this code in this respect. A second result in the article is a finite-length bound which relates the number of queries r and the fraction of errors that can be tolerated, for a locally correctable code that employs a randomized algorithm in which each instance of the algorithm involves t-error correction.","","978-1-4673-0816-8978-1-4673-0815-1978-1-4673-0814","10.1109/NCC.2012.6176752","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6176752","","Decoding;Linear code;Error correction codes;Complexity theory;Parity check codes;Polynomials","block codes;decoding;dual codes;error correction codes;linear codes","t-designs;query complexity;error resilience;locally-correctable codes;n-length block code;codeword;linear codes;dual code;linear decoding;finite length code;finite-length bound;error fraction;t-error correction","","","","7","","","","","IEEE","IEEE Conferences"
"A pragmatic means for measuring the complexity of source code ensembles","O. Hummel; S. Burger","Software Design and Quality Group, Karlsruhe Institute of Technology (KIT), Germany; Software Engineering Group, University of Mannheim, Germany","2013 4th International Workshop on Emerging Trends in Software Metrics (WETSoM)","","2013","","","76","79","Most of the software metrics known and applied today are measured on a per file or even per function basis so that it is difficult to interpret their results for higher-order code ensembles such as components or whole systems. In order to overcome this weakness, we propose the hm-Index as a simple metric to condense the dependencies, i.e. the Fan-out, between source units in such code ensembles into a single number. As it is inspired by the h-Index in bibliometrics, it is based on a well-known procedure that already had significant impact in a different field. We expect the hm-Index to become a simple metric for comparing the code complexity of different components or systems in software engineering and present promising preliminary results from real-world systems confirming our assumption in this paper.","2327-0969;2327-0950","978-1-4673-6331","10.1109/WETSoM.2013.6619340","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6619340","Software Metrics;Code Quality and Complexity","Complexity theory;Software;Software metrics;Indexes;Software engineering","software metrics","source code ensembles complexity measurement;software metrics;higher-order code ensembles;hm-Index;software engineering;bibliometrics","","1","","20","","","","","IEEE","IEEE Conferences"
"Low complexity syndrome based decoding of Turbo codes","J. Geldmacher; K. Hueske; J. Götze; M. Kosakowski","Information Processing Lab, TU Dortmund University, Otto-Hahn-Strasse 4, 44227 Dortmund, Germany; Information Processing Lab, TU Dortmund University, Otto-Hahn-Strasse 4, 44227 Dortmund, Germany; Information Processing Lab, TU Dortmund University, Otto-Hahn-Strasse 4, 44227 Dortmund, Germany; Research In Motion Deutschland GmbH, Universitätsstr. 140","2012 IEEE International Symposium on Information Theory Proceedings","","2012","","","2371","2375","A new syndrome trellis based decoding approach for Turbo coded data is described in this paper. Based on estimating error symbols instead of code symbols, it inherently features options for reducing the computational complexity of the decoding process. After deriving required transition metrics, numerical results in terms of block error rate and required equivalent iterations are presented to demonstrate the efficiency of the approach.","2157-8117;2157-8095;2157-8095","978-1-4673-2579-0978-1-4673-2580-6978-1-4673-2578","10.1109/ISIT.2012.6283938","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6283938","","Iterative decoding;Signal to noise ratio;Maximum likelihood decoding;Systematics;Convolutional codes;Complexity theory","computational complexity;decoding;error detection codes;trellis codes;turbo codes","low complexity syndrome based decoding;turbo codes;syndrome trellis based decoding approach;estimating error symbols;computational complexity;block error rate;equivalent iterations","","1","","19","","","","","IEEE","IEEE Conferences"
"A low complexity cryptosystem based on nonsystematic turbo codes","K. Ghavami; M. Naraghi-Pour","Division of Electrical and Computer Engineering, School of Electrical Engineering and Computer Science, Louisiana State University, Baton Rouge, LA 70803, United States; Division of Electrical and Computer Engineering, School of Electrical Engineering and Computer Science, Louisiana State University, Baton Rouge, LA 70803, United States","2015 IEEE International Conference on Communications (ICC)","","2015","","","7388","7393","A novel symmetric cryptosystem based on turbo codes with nonsystematic constituent codes is proposed. The proposed system introduces an interleaver for each constituent code and secures the interleavers with a secret key. It is verified by simulation results that without affecting the performance of the intended receiver, complete security for the unintended receiver can be achieved. More specifically, while the bit-error rate (BER) of the intended receiver remains the same as that of the insecure turbo code, for the unintended receiver BER is close to 0.5. The implementation issues for key-dependent interleaver design based on linear feedback shift registers are also discussed.","1550-3607;1938-1883","978-1-4673-6432-4978-1-4673-6431","10.1109/ICC.2015.7249507","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7249507","Turbo codes;cryptosystem;data encryption;physical-layer security","Bit error rate;Security;Systematics;Turbo codes;Decoding;Receivers;Signal to noise ratio","computational complexity;cryptography;error statistics;interleaved codes;shift registers;telecommunication security;turbo codes","low complexity cryptosystem;nonsystematic turbo codes;symmetric cryptosystem;nonsystematic constituent codes;intended receiver;unintended receiver BER;bit-error rate;insecure turbo code;key-dependent interleaver design;linear feedback shift registers","","","","16","","","","","IEEE","IEEE Conferences"
"Design and Complexity Analysis of Reed Solomon Code Algorithm for Advanced RAID System in Quaternary Domain","V. Vasudevan; V. Sheshadri; S. K. R.; V. P. K.S.","NA; NA; NA; NA","2011 IEEE Computer Society Annual Symposium on VLSI","","2011","","","307","312","The complexity of programmable logic design has increased ever since its conception because of the increased focus on seamless integration of design creation. Interconnections, which occupy 60 to 90% of the chip area, play a vital role in deciding the power and delay in such designs. Hence there is an increased focus on Multi-Valued Logic, because of its inherent ability to reduce the number of interconnections. In this paper, we present the design of (n=15, k=13) Reed Solomon code algorithm for advanced Redundant Array of Independent Disks (RAID) system in quaternary domain, to tolerate multiple disk failures. We present two designs to implement the algorithm on a FPGA- a heterogeneous design consisting of quaternary and binary circuits, a complete quaternary design. The first design performs all computations using only binary EX-OR gates. This design requires more EX-OR operations than the binary counterpart. This number is a function of the generator polynomial used for encoding. The second design based on quaternary look-up tables is efficient and can be easily implemented. The look-up tables are in turn based on quaternary multiplexers that can be further optimized by reducing the feature size.","2159-3477;2159-3469;2159-3469","978-1-4577-0803-9978-0-7695-4447","10.1109/ISVLSI.2011.75","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5992524","quaternary logic;RAID;Galois;Reed Solomon;erasure;failure;look-up table;encoder;decoder;disk failure","Polynomials;Algorithm design and analysis;Table lookup;Generators;Reed-Solomon codes;Integrated circuit interconnections;Logic gates","field programmable gate arrays;integrated circuit interconnections;logic design;logic gates;programmable logic devices;RAID;Reed-Solomon codes;table lookup","Reed Solomon code algorithm;advanced RAID system;quaternary domain;programmable logic design;multivalued logic;redundant array of independent disks;FPGA;binary EX-OR gates;quaternary look-up tables;quaternary multiplexers","","","","11","","","","","IEEE","IEEE Conferences"
"Rate-Distortion-Complexity Optimized Coding Mode Decision for HEVC","B. Huang; Z. Chen; Q. Cai; M. Zheng; D. Wu","Department of Physics and Information Engineering, Fuzhou University, Fuzhou, Fujian 350108, China.; Department of Physics and Information Engineering, Fuzhou University, Fuzhou, Fujian 350108, China.; Department of Electrical and Computer Engineering, University of Florida, Gainesville, Florida, USA.; Department of Physics and Information Engineering, Fuzhou University, Fuzhou, Fujian 350108, China.; Department of Electrical and Computer Engineering, University of Florida, Gainesville, Florida, USA.","IEEE Transactions on Circuits and Systems for Video Technology","","2019","PP","99","1","1","The newest generation of video coding standard, high efficiency video coding (HEVC), significantly improves the video compression efficiency by introducing more flexible block partitioning structures and richer coding modes than those of previous coding standards; however, the encoders suffer from high computational complexity, which greatly hinders their extensive application. Extensive studies on optimizing the complexity of HEVC encoders have been conducted. However, most studies do not effectively achieve a trade-off between the rate-distortion (RD) performance loss and complexity during rate-distortion optimization (RDO). In this paper, we mathematically define the complexity-constrained RDO problem as a constrained optimization problem of subset selection. Next, based on the classification methodology, the derivation process for this optimization problem is simplified to finding the adaptive threshold function in the feature space with extremely low complexity. The proposed method is also highly general and is applicable to algorithm design for various coding mode decisions, such as coding unit (CU) splitting, prediction unit (PU) partitioning and transform unit (TU) tree decision, and the global optimum can be achieved. Compared with existing methods, the experimental results show that the proposed method can reduce the coding time by 2-16% with the same RD performance loss and can decrease the BD rate by 0.1-1.2% under the same complexity. In addition, this method is capable of flexibly adjusting the complexity under different RDC trade-off requirements.","1051-8215;1558-2205","","10.1109/TCSVT.2019.2893396","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8620268","Rate-distortion-complexity;HEVC;coding mode decision","Encoding;Complexity theory;Optimization;Video coding;Standards;Distortion;Bit rate","","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Low Complexity, High Efficiency Probability Model for Hyper-spectral Image Coding","F. Auli-Llinas; J. Bartrina-Rapesta; J. Serra-Sagrista; M. W. Marcellin","NA; NA; NA; NA","2011 First International Conference on Data Compression, Communications and Processing","","2011","","","229","235","This paper describes a low-complexity, high-efficiency lossy-to-lossless coding scheme for hyper-spectral images. Together with only a 2D wavelet transform on individual image components, the proposed scheme achieves coding performance similar to that achieved by a 3D transform strategy that adds one level of wavelet decomposition along the depth axis of the volume. The proposed schemes operates by means of a probability model for symbols emitted by the bit plane coding engine. This probability model captures the statistical behavior of hyper-spectral images with high precision. The proposed method is implemented in the core coding system of JPEG2000 reducing computational costs by 25%.","","978-1-4577-1458-0978-0-7695-4528","10.1109/CCP.2011.10","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6061130","Hyper-spectral image coding;bitplane image coding;JPEG2000","Encoding;Transform coding;Image coding;Sensors;Wavelet transforms;Table lookup","geophysical image processing;image coding;probability;wavelet transforms","low complexity high efficiency probability model;hyperspectral image coding;high-efficiency lossy-to-lossless coding scheme;2D wavelet transform;3D transform strategy;wavelet decomposition;bit plane coding engine;statistical behavior;JPEG2000 core coding system","","","","19","","","","","IEEE","IEEE Conferences"
"Low-complexity separable multiplier-less loop filter for video coding","A. Saxena; M. Aabed; M. Budagavi","Samsung Research America, 1301 E. Lookout Drive, Richardson, TX-75082; School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA-30332; Samsung Research America, 1301 E. Lookout Drive, Richardson, TX-75082","2015 IEEE International Conference on Image Processing (ICIP)","","2015","","","3715","3719","In this paper, we present a low-complexity loop filter for video coding. We begin by presenting a set of non-Wiener based loop filters that can complement the Wiener-based adaptive loop filter which was considered as a tool for possible adoption in the HEVC standard. We devise filters which can be adaptively operated on different regions in an image. We devise a quad-tree based signaling for the filters, and present various loop filters: such as bilateral and Gaussian, as well as a separable 3-tap filter which can be implemented by just shifts and adds. The proposed 3-tap filter is thus hardware friendly with minimal complexity. In terms of compression performance, the proposed 3-tap filter can approach other sophisticated filters, albeit at a substantially reduced complexity; and can provide compression gains of 2.3% on average; and upto 7.0% for Low-Delay-P configuration over a data-set of 19 diverse HD, and UHD sequences of upto 8K resolution when implemented on top of the HM14.0 software for HEVC. Finally, we also present results for combining our proposed filters with the Wiener-based adaptive loop filter considered in HEVC, and illustrate that there is a significant amount of compression gain that can be achieved by loop filters for the next generation of video coding standard beyond HEVC.","","978-1-4799-8339-1978-1-4799-8338","10.1109/ICIP.2015.7351498","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7351498","Loop filter;bilateral filtering;separable filter;H.265/HEVC;video compression;Wiener filter;ALF","Decoding;Standards;Complexity theory;Encoding;Distortion;Video coding;Hardware","quadtrees;video coding;Wiener filters","low complexity separable multiplier-less loop filter;non-Wiener based loop filters;Wiener-based adaptive loop filter;HEVC standard;quad-tree based signaling;separable 3-tap filter;minimal complexity;sophisticated filters;compression gains;low-delay-P configuration;UHD sequences;video coding standard","","","","8","","","","","IEEE","IEEE Conferences"
"Reduced-complexity collaborative decoding of interleaved Reed-Solomon and Gabidulin codes","H. Kurzweil; M. Seidl; J. B. Huber","Department Mathematik, Universit&#x00E4;t Erlangen-N&#x00FC;rnberg, Germany; Lehrstuhl f&#x00FC;r Informations&#x00FC;bertragung, Universit&#x00E4;t Erlangen-N&#x00FC;rnberg, Germany; Department Mathematik, Universit&#x00E4;t Erlangen-N&#x00FC;rnberg, Germany","2011 IEEE International Symposium on Information Theory Proceedings","","2011","","","2557","2561","An alternative method for collaborative decoding of interleaved Reed-Solomon codes as well as Gabidulin codes for the case of high interleaving degree is proposed. As an example of application, simulation results are presented for a concatenated coding scheme using polar codes as inner codes.","2157-8117;2157-8095;2157-8095","978-1-4577-0595-3978-1-4577-0596-0978-1-4577-0594","10.1109/ISIT.2011.6034030","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6034030","","Decoding;Polynomials;Reed-Solomon codes;Hafnium;Digital video broadcasting;Error analysis","concatenated codes;decoding;interleaved codes;Reed-Solomon codes","reduced-complexity collaborative decoding;interleaved Reed-Solomon codes;Gabidulin codes;concatenated coding;polar codes;inner codes","","6","","13","","","","","IEEE","IEEE Conferences"
"A Texture Complexity Based Fast Prediction Unit Size Selection Algorithm for HEVC Intra-coding","Y. Liu; X. Liu; P. Wang","NA; NA; NA","2014 IEEE 17th International Conference on Computational Science and Engineering","","2014","","","1585","1588","The latest High Efficiency Video Coding (HEVC) standard could achieve the highest coding efficiency compared with all existing video coding standards. However, the computational complexity is increased dramatically because all the possible combinations of the mode candidates are calculated in order to find the optimal rate distortion (RD) cost using Lagrange multiplier. In order to save the coding time of HEVC encoder, this paper proposes a texture complexity based fast prediction unit size selection algorithm for HEVC intra coding. The proposed algorithm could reduce around 38% encoding time in average with only 0.2% increase in BD-rate compared to the test model HM10.0 of HEVC.","","978-1-4799-7981-3978-1-4799-7980","10.1109/CSE.2014.292","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7023803","HEVC;intra prediction;video coding;texture complexity","Encoding;Video coding;Complexity theory;Prediction algorithms;Standards;Algorithm design and analysis;Partitioning algorithms","computational complexity;image texture;video codecs;video coding","texture complexity;fast prediction unit size selection algorithm;high efficiency video coding;HEVC standard;video coding standards;optimal rate distortion;Lagrange multiplier;HEVC encoder;HEVC intra coding;BD-rate","","2","","14","","","","","IEEE","IEEE Conferences"
"A Coded MIMO Spatial Multiplexing Approach with Low-Complexity Matched-Filter Detector and CRC-Assisted Interference Cancellation","K. Masukawa; H. Ochiai","Yokohama National University, Department of Electrical and Computer Engineering, Yokohama, 79–5 Tokiwadai, Hodogaya, Kanagawa, 240-8501, Japan; Yokohama National University, Department of Electrical and Computer Engineering, Yokohama, 79–5 Tokiwadai, Hodogaya, Kanagawa, 240-8501, Japan","MILCOM 2018 - 2018 IEEE Military Communications Conference (MILCOM)","","2018","","","541","546","Even though the benefit of multiple-input multiple-output (MIMO) spatial multiplexing systems is significant, its optimal detection becomes challenging as the number of antennas increases. In general, there is a trade-off relationship between the complexity and the achievable error rate performance for MIMO detection, and the maximum-likelihood detector (MLD) is known to be optimal with highest complexity, whereas that based on the matched filter (MF) has the lowest complexity but the remaining interference leads to poor error rate performance. Therefore, in this work, we propose a two-stage MIMO detection system that uses MF with parallel interference cancellation (PIC)at the first stage, followed by the MLD after cancellation of successfully detected streams using cyclic redundancy-check (CRC) codes. Simulation results demonstrate that the proposed two-stage approach may reduce the complexity of MIMO detection with better frame error rate (FER) performance compared to the single-stage MLD.","2155-7586;2155-7578","978-1-5386-7185-6978-1-5386-7186","10.1109/MILCOM.2018.8599727","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8599727","","MIMO communication;Detectors;Decoding;Complexity theory;Transmitting antennas;Interference cancellation","cyclic redundancy check codes;error statistics;interference suppression;matched filters;maximum likelihood detection;MIMO communication;space division multiplexing","low-complexity matched-filter detector;CRC-assisted interference cancellation;multiple-input multiple-output spatial multiplexing systems;maximum-likelihood detector;two-stage MIMO detection system;parallel interference cancellation;cyclic redundancy-check codes;frame error rate performance;single-stage MLD;coded MIMO spatial multiplexing approach","","","","13","","","","","IEEE","IEEE Conferences"
"A Low-Complexity Delay-Tunable Coding Scheme for Visible Light Communication Systems","S. Zhao; X. Ma","College of Information Science and Technology, Jinan University, Guangzhou, China; School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China","IEEE Photonics Technology Letters","","2016","28","18","1964","1967","Visible light communication (VLC) systems are expected to support a variety of applications, such as common-information broadcasting, real-time multimedia streaming, and large file downloading. Typically, these applications have different delay requirements. Hence, it is desirable to design high-performance coding scheme capable of supporting a wide range of delays but with acceptable hardware complexity. To achieve this, we propose a delay-tunable coding scheme for VLC systems based on block Markov superposition transmission of short non-binary low-density parity-check (NBLDPC) codes. The proposed coding scheme includes the following advantages: 1) it is easily configurable to fulfill different delay requirements while keeping the code rate constant; 2) it requires essentially the same hardware modules to implement the encoder/decoder as the involved short NBLDPC code; and 3) it can have a larger coding gain if a longer delay is tolerated. Numerical results are presented to show the expected tradeoff between delay and energy in a VLC system.","1041-1135;1941-0174","","10.1109/LPT.2016.2580562","National Natural Science Foundation of China; National Science Foundation through the Basic Research Project of Guangdong Province; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7491294","Block Markov superposition transmission;delay-tunable;light emitting diode (LED);non-binary LDPC codes;visible light communication (VLC)","Encoding;Delays;Decoding;Demodulation;Hardware;Visible light communication","encoding;free-space optical communication;Markov processes","low-complexity delay-tunable coding scheme;visible light communication systems;block Markov superposition transmission;short nonbinary low-density parity-check codes;constant code rate;encoder/decoder","","4","","20","","","","","IEEE","IEEE Journals & Magazines"
"DAVINCI Non-Binary LDPC codes: Performance and complexity assessment","I. Gutierrez; G. Bacci; J. Bas; A. Bourdoux; H. Gierszal; A. Mourad; S. Pleftschinger","Samsung Electronics Research Institute, Communications House, TW18-4QE, Staines (UK); Wireless Systems Engineering and Research (WISER), Livorno, 57123, Italy; Centre Tecnològic de Telecomunicacions de Catalunya (CTTC), Parc Mediterrani de la Tecnologia, 08860, Castelldefels (Spain); Wireless Research, Interuniversity MicroElectronics Center (IMEC), Kapeldreef 75, 3001 Leuven, Belgium; ITTI SP. Z.O.O. Rubiez 46, 61-612 Poznan, Poland; Samsung Electronics Research Institute, Communications House, TW18-4QE, Staines (UK); Centre Tecnològic de Telecomunicacions de Catalunya (CTTC), Parc Mediterrani de la Tecnologia, 08860, Castelldefels (Spain)","2010 Future Network & Mobile Summit","","2010","","","1","8","Non-Binary Low Density Parity Check (NB-LDPC) codes are expected to reduce the performance gap between binary LDPC and Turbo Codes for both short and medium length codewords, retaining in both cases the best of each. This paper presents the performance evaluation of NB-LDPC when compared to state-of-art channel coding techniques, namely Convolutional Turbo Codes (CTC) and Quasi-Cyclic LDPC. The performance evaluation is twofold: first at the link level and then at system level. In both analyses, it has been shown that the NB-LDPC codes outperform the benchmark codes giving a Signal to Noise Ratio gain up to 0.5 dB and improving the average throughput 5%. Besides, a complexity analysis is also provided for NB-LDPC showing that, using a low complexity decoder, the complexity is approximately one order of magnitude above that required in case of CTC or QC-LDPC.","","978-1-905824-18-2978-1-905824-16","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5722335","NB-LDPC;DBTC;LDPC;FEC;IMT-Advanced;WiMAX;LTE","Parity check codes;Decoding;Throughput;Complexity theory;Gain;AWGN;Encoding","channel coding;computational complexity;parity check codes;performance evaluation;turbo codes","DAVINCI nonbinary LDPC codes;complexity assessment;performance assessment;low density parity check codes;medium length codewords;performance evaluation;convolutional turbo codes;quasi-cyclic LDPC;complexity analysis;complexity decoder;channel coding techniques","","5","","19","","","","","IEEE","IEEE Conferences"
"A Low-Complexity Viterbi Decoder for Space-Time Trellis Codes","K. Shr; H. Chen; Y. Huang","NA; NA; NA","IEEE Transactions on Circuits and Systems I: Regular Papers","","2010","57","4","873","885","Space-time trellis code (STTC) has been widely applied to coded multiple-input multiple-output (MIMO) systems because of its gains in coding and diversity; however, its great decoding complexity makes it less promising in chip realization compared to the space-time block code (STBC). The complexity of STTC decoding lies in the branch metric calculation in the Viterbi algorithm and increases significantly along with the number of antennas and the modulation order. Consequently, a low-complexity algorithm to mitigate the computational burden is proposed. The results show that more than 70%, 78%, and 83% of the computational complexity is reduced for 2 × 2, 3 × 3, and 4 × 4 MIMO configurations, respectively. Based on the proposed algorithm, a reconfigurable MISO STTC Viterbi decoder is designed and implemented using 0.18 ¿m 1P6M CMOS technology. The decoder achieves 11.14 Mbps, 8.36 Mbps, and 5.75 Mbps for 4-PSK, 8-PSK, and 16-QAM modulations, respectively.","1549-8328;1558-0806","","10.1109/TCSI.2009.2027648","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5357411","Branch metrics;MIMO;space-time trellis code;Viterbi decoder","Viterbi algorithm;Decoding;Convolutional codes;MIMO;Wireless communication;CMOS technology;Space technology;Transmitting antennas;Block codes;Receiving antennas","antenna arrays;block codes;CMOS integrated circuits;computational complexity;MIMO communication;phase shift keying;space-time codes;trellis codes;Viterbi decoding","low-complexity Viterbi decoder;space-time trellis codes;coded multiple-input multiple-output systems;MIMO systems;space-time block code;computational complexity;reconfigurable MISO STTC Viterbi decoder;1P6M CMOS technology;4-PSK modulation;8-PSK modulation;16-QAM modulations;size 0.18 mum","","7","","32","","","","","IEEE","IEEE Journals & Magazines"
"RAID-6 reed-solomon codes with asymptotically optimal arithmetic complexities","S. Lin; A. Alloum; T. Y. Al-Naffouri","School of Information Science and Technology, University of Science and Technology of China (USTC); Nokia Bell Labs; Computer, Electrical, and Mathematical Sciences and Engineering (CEMSE) Division, King Abdullah University of Science and Technology (KAUST)","2016 IEEE 27th Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)","","2016","","","1","5","In computer storage, RAID 6 is a level of RAID that can tolerate two failed drives. When RAID-6 is implemented by Reed-Solomon (RS) codes, the penalty of the writing performance is on the field multiplications in the second parity. In this paper, we present a configuration of the factors of the second-parity formula, such that the arithmetic complexity can reach the optimal complexity bound when the code length approaches infinity. In the proposed approach, the intermediate data used for the first parity is also utilized to calculate the second parity. To the best of our knowledge, this is the first approach supporting the RAID-6 RS codes to approach the optimal arithmetic complexity.","2166-9589","978-1-5090-3254-9978-1-5090-3255","10.1109/PIMRC.2016.7794681","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7794681","RAID-6 codes;computational complexity;Distributed storage systems;erasure codes","Complexity theory;Decoding;Land mobile radio;Reflective binary codes;Reed-Solomon codes;STEM;Electronic mail","computational complexity;Reed-Solomon codes","RAID-6 Reed-Solomon codes;asymptotic optimal arithmetic complexity;RS codes;field multiplications;second-parity formula;optimal complexity bound;code length","","1","","14","","","","","IEEE","IEEE Conferences"
"Reduced-Complexity Intra Block Copy (IntraBC) Mode With Early CU Splitting and Pruning for HEVC Screen Content Coding","S. Tsang; Y. Chan; W. Kuang; W. Siu","Department of Electronic and Information Engineering, Centre for Signal Processing, The Hong Kong Polytechnic University, Hung Hom, Hong Kong; Department of Electronic and Information Engineering, Centre for Signal Processing, The Hong Kong Polytechnic University, Hung Hom, Hong Kong; Department of Electronic and Information Engineering, Centre for Signal Processing, The Hong Kong Polytechnic University, Hung Hom, Hong Kong; Department of Electronic and Information Engineering, Centre for Signal Processing, The Hong Kong Polytechnic University, Hung Hom, Hong Kong","IEEE Transactions on Multimedia","","2019","21","2","269","283","A screen content coding (SCC) extension to high efficiency video coding has been developed to incorporate many new coding tools in order to achieve better coding efficiency for videos mixed with camera-captured content and graphics/text/animation. For instance, the Intra Block Copy (IntraBC) mode helps to encode repeating patterns within the same frame while the Palette mode aims at encoding screen content with a few major colors. However, the IntraBC mode brings along high computational complexity due to the exhaustive block matching within the same frame though there are already some constraints and fast approaches applied to the IntraBC mode to reduce its complexity. Thus, we propose a fast intracoding scheme to reduce the complexity of using the IntraBC mode in SCC. Screen content always contains no sensor noise resulting in the characteristics with pixel exactness along both horizontal and vertical directions. These characteristics pave the way for mode skipping and early coding unit (CU) splitting. Besides, early CU pruning and early termination are proposed based on the rate distortion cost to further reduce encoder complexity. Moreover, we also propose reducing the complexity of the IntraBC mode by checking the hash value of each block candidate and the current block during block matching. With our proposed scheme, the encoding time is reduced compared with the SCC while the coding efficiency can still be maintained with a minor increase in the bjontegaard delta bitrate.","1520-9210;1941-0077","","10.1109/TMM.2018.2856078","Council of the Hong Kong Special Administrative Region, China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8410679","Hash search;HEVC;intra block copy;screen content coding;video coding","Encoding;Copper;Color;Complexity theory;Indexes;High efficiency video coding;Videos","block codes;computational complexity;computer animation;image colour analysis;image matching;video cameras;video coding","exhaustive block matching;reduced-complexity intra block copy mode;early CU pruning;repeating pattern encoding;fast intracoding scheme;pixel exactness;early coding unit splitting;early termination;rate distortion cost;hash value;high computational complexity;Palette mode;camera-captured content;coding tools;high efficiency video coding;screen content coding extension;HEVC screen content coding;early CU splitting;coding efficiency;encoder complexity;early coding unit splitting;mode skipping;SCC;IntraBC mode;exhaustive block","","","","50","","","","","IEEE","IEEE Journals & Magazines"
