"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZGWSPQT5","conferencePaper","","Banitaan, Shadi; Daimi, Kevin; Wang, Yujun; Akour, Mohammed","Test Case Selection using Software Complexity and Volume Metrics","24th International Conference on Software Engineering and Data Engineering, SEDE’15","","","","","","","2019-06-04 16:25:16","2019-06-04 16:25:16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MKUIIQPR","journalArticle","2014","Weinhold, Carsten","Reducing size and complexity of the security-critical code base of file systems","","","","","","","2014","2019-06-04 16:25:16","2019-06-04 16:25:16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BKSG4TB","journalArticle","2012","Hao, Wu; Guoqing, Wu","On the Concept of Trusted Computing and Software Watermarking: A Computational Complexity Treatise","Physics Procedia","","","","","","2012","2019-06-04 16:25:16","2019-06-04 16:25:16","","465–474","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55K96BG3","book","2015","Fricke, Michael Ryan","Teachers' Experiences with the Foundations and Frameworks Reading Program andReading Comprehension","","","","","","","2015","2019-06-04 16:25:16","2019-06-04 16:25:16","","","","","","","","","","","","","Grand Canyon University","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BHXB4E6","conferencePaper","2016","Yaremchuk, Svitlana; Kharchenko, Vyacheslav","Complexity-based Prediction of Faults Number for Software Modules Ranking Before Testing: Technique and Case Study.","ICTERI","","","","","","2016","2019-06-04 16:25:16","2019-06-04 16:25:16","","427–440","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X5E88DW3","conferencePaper","2011","Idili, Giovanni; Cantarelli, Matteo; Buibas, Marius; Busbice, Tim; Coggan, Jay; Grove, Christian; Khayrulin, Sergey; Palyanov, Andrey; Larson, Stephen D","Managing complexity in multi-algorithm, multi-scale biological simulations: an integrated software engineering and neuroinformatics approach","Frontiers in Neuroinformatics Conference Abstract: 4th INCF Congress of Neuroinformatics","","","","","","2011","2019-06-04 16:25:16","2019-06-04 16:25:16","","","","","112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NMTT8NIG","conferencePaper","2010","Sjøberg, Dag IK; Odberg, Erik; Warlo, Borger","The challenge of assessing and controlling complexity in a large portfolio of software systems","Proceedings of the 11th International Conference on Product Focused Software","","","","","","2010","2019-06-04 16:25:16","2019-06-04 16:25:16","","71–74","","","","","","","","","","","ACM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MFLQ2ZG8","conferencePaper","2011","Hanakawa, Noriko","A process refactoring for software development with process complexity and activity priority lists","2011 Joint Conference of the 21st International Workshop on Software Measurement and the 6th International Conference on Software Process and Product Measurement","","","","","","2011","2019-06-04 16:25:17","2019-06-04 16:25:17","","209–214","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SMCWMP22","book","2011","Cataldo, Marcelo; De Souza, Cleidson RB","The impact of API complexity on failures: An empirical analysis of proprietary and open source software systems","","","","","","","2011","2019-06-04 16:25:17","2019-06-04 16:25:17","","","","","","","","","","","","","Technical Report 106, Instituti for Software Research, School of Computer …","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARKUX4IS","conferencePaper","2010","Arar, Maher; Yongacoglu, Abbas","Parallel low-complexity MIMO detection algorithm using QR decomposition and Alamouti space-time code","2010 European Wireless Conference (EW)","","","","","","2010","2019-06-04 16:25:17","2019-06-04 16:25:17","","141–148","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZGE5YNYP","journalArticle","2014","Noeparast, Naeem; Khatami, Mojtaba","The effect of using NetSupport School software on Iranian intermediate EFL learners’ vocabulary retention and reading comprehension","International Journal of Educational Investigations","","","","","","2014","2019-06-04 16:25:17","2019-06-04 16:25:17","","305–312","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FS4H474Y","bookSection","2010","Wang, Jian Han; Bouguila, Nizar; Bdiri, Taoufik","Empirical evaluation of selected algorithms for complexity-based classification of software modules and a new model","Intelligent Systems: From Theory to Practice","","","","","","2010","2019-06-04 16:25:17","2019-06-04 16:25:17","","99–131","","","","","","","","","","","Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N5FEAFCK","conferencePaper","2015","Naufal, Mohammad Farid; Rochimah, Siti","Software complexity metric-based defect classification using FARM with preprocessing step CFS and SMOTE a preliminary study","2015 International Conference on Information Technology Systems and Innovation (ICITSI)","","","","","","2015","2019-06-04 16:25:17","2019-06-04 16:25:17","","1–6","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RTTZ4TCX","journalArticle","2014","Teja, David Lyon","The effects of the read 180 program on oral reading fluency, linguistic comprehension, and reading comprehension with secondary special education students","","","","","","","2014","2019-06-04 16:25:17","2019-06-04 16:25:17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YRKFSI6T","journalArticle","2016","Elango, G Arul; Sudha, GF","Design of complete software GPS signal simulator with low complexity and precise multipath channel model","Journal of Electrical Systems and Information Technology","","","","","","2016","2019-06-04 16:25:18","2019-06-04 16:25:18","","161–180","","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FUFRZXXP","journalArticle","2017","Vahidov, Rustam; Saade, Raafat; Yu, Bo","The effects of interplay between negotiation tactics and task complexity in software agent to human negotiations","Electronic Commerce Research and Applications","","","","","","2017","2019-06-04 16:25:18","2019-06-04 16:25:18","","50–61","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TYGH387Z","conferencePaper","2016","Marter, Tim; Babucke, Paul; Lembken, Philipp; Hanenberg, Stefan","Lightweight programming experiments without programmers and programs: an example study on the effect of similarity and number of object identifiers on the readability of source code using natural texts","Proceedings of the 2016 ACM International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software","","","","","","2016","2019-06-04 16:25:18","2019-06-04 16:25:18","","1–14","","","","","","","","","","","ACM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N73TFKMW","conferencePaper","2010","Lakhani, Farah; Das, Anjali; Pont, Michael J","Improving the reliability of embedded systems as complexity increases: supporting the migration between event-triggered and time-triggered software architectures","Proceedings of the 15th European Conference on Pattern Languages of Programs","","","","","","2010","2019-06-04 16:25:18","2019-06-04 16:25:18","","22","","","","","","","","","","","ACM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HC229PYT","journalArticle","2014","Saberali, Sayed Mohammad; Amindavar, Hamidreza","Low-complexity ad-hoc non-linearities for blind multiuser detection of long-code code-division multiple access signals and asymptotic performance evaluation","IET Communications","","","","","","2014","2019-06-04 16:25:18","2019-06-04 16:25:18","","1527–1533","","9","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3BYLLX8C","journalArticle","2015","Eissa, Mourad Ali","The Effectiveness of a Self Regulated Learning-Based Training Program on Improving Cognitive and Metacognitive EFL Reading Comprehension of 9th Graders with Reading Disabilities.","Online Submission","","","","","","2015","2019-06-04 16:25:18","2019-06-04 16:25:18","","49–59","","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VJ4MQYM9","journalArticle","2010","Cárnio, Maria Sílvia; Csipai, Eleonora Silva; Couto, Maria Inês Vieira","Relação entre níveis de compreensão e estratégias de leitura utilizadas por surdos sinalizadores em um programa terapêutico Relationship between comprehension levels and reading strategies used in a therapeutic program by deaf individuals","Rev Soc Bras Fonoaudiol","","","","","","2010","2019-06-04 16:25:18","2019-06-04 16:25:18","","206–12","","2","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3YREYLFN","conferencePaper","2012","Lema, Rose","Hypertextuality, complexity, creativity: Using linguistic software tools to uncover new information about the food and drink of historic Mayans","Forum Qualitative Sozialforschung/Forum: Qualitative Social Research","","","","","","2012","2019-06-04 16:25:18","2019-06-04 16:25:18","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MPBFARKA","conferencePaper","2010","Jakupovic, Alen; Pavlic, Mile; Poscic, Patrizia","Measuring the complexity of the business sector and business software","International Conference on Enterprise Information Systems and Web Technologies (EISWT-10)-12th-14th July, Orlando, USA","","","","","","2010","2019-06-04 16:25:19","2019-06-04 16:25:19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8QYFQ8ZZ","book","2012","Ghizan, Sumar","The effect of instructional reading software on developing English reading speed and comprehension for IT university students","","","","","","","2012","2019-06-04 16:25:19","2019-06-04 16:25:19","","","","","","","","","","","","","Xlibris Corporation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E8XXQU3H","journalArticle","2015","McIntosh, Jason Scott","The depth and complexity program evaluation tool: a new method for conducting internal evaluations of gifted education programs","","","","","","","2015","2019-06-04 16:25:19","2019-06-04 16:25:19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QV8634ND","conferencePaper","2017","Ojala, Arto; Paavilainen-Mäntymäki, Eriikka; Su, Ning; Lyytinen, Kalle","Software Complexity and Organization of Firms’ Offshoring Activities","Scandinavian Conference on Information Systems","","","","","","2017","2019-06-04 16:25:19","2019-06-04 16:25:19","","15–27","","","","","","","","","","","Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2FBGN5ML","journalArticle","2015","Batool, Aisha; ur Rehman, Muhammad Habib; Khan, Aihab; Azeem, Amsa","Impact and Comparison of Programming Constructs on JAVA and C# Source Code Readability","International Journal of Software Engineering and Its Applications","","","","","","2015","2019-06-04 16:25:19","2019-06-04 16:25:19","","79–90","","11","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KE55GAIV","conferencePaper","2011","Tsui, Frank; Iriele, Stanley","Analysis of software cohesion attribute and test case development complexity","Proceedings of the 49th Annual Southeast Regional Conference","","","","","","2011","2019-06-04 16:25:19","2019-06-04 16:25:19","","237–242","","","","","","","","","","","ACM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C6U9Q559","conferencePaper","2014","Abi-Antoun, Marwan; Giang, Andrew; Chandrashekar, Sumukhi; Khalaj, Ebrahim","The eclipse runtime perspective for object-oriented code exploration and program comprehension","Proceedings of the 2014 Workshop on Eclipse Technology eXchange","","","","","","2014","2019-06-04 16:25:19","2019-06-04 16:25:19","","3–8","","","","","","","","","","","ACM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LTIB48ID","journalArticle","2011","Zhang, Yuan-Ming; Xiao, Gang; Xu, Gong-Xu; Lu, Jia-Wei","Evolution of software product family component and its complexity evaluation [J]","Journal of Computer Applications","","","","","","2011","2019-06-04 16:25:19","2019-06-04 16:25:19","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GZMC98LS","journalArticle","2010","Dapeng, Li; Ping, Guo; Xinyu, Chen","A Set of Class and System-Level Complexity Metrics for Object-Oriented Software","Journal of Computer Research and Development","","","","","","2010","2019-06-04 16:25:19","2019-06-04 16:25:19","","S1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMT29RZ9","journalArticle","2015","Jiang, Rong","Research and Measurement of Software Complexity Based on Wuli, Shili, Renli (WSR) and Information Entropy","Entropy","","","","","","2015","2019-06-04 16:25:19","2019-06-04 16:25:19","","2094–2116","","4","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LVQ9BBUI","conferencePaper","2011","Soh, Zéphyrin","Context and vision: Studying two factors impacting program comprehension","2011 IEEE 19th International Conference on Program Comprehension","","","","","","2011","2019-06-04 16:25:20","2019-06-04 16:25:20","","258–261","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5FK6AC2B","bookSection","2010","Szoboszlai, Péter; Vásárhelyi, József; Turán, Jan; Serföz\Ho, Péter","MTTool Software Tool and Low Complexity Hardware for Mojette Transformation","Computational Intelligence in Engineering","","","","","","2010","2019-06-04 16:25:20","2019-06-04 16:25:20","","15–26","","","","","","","","","","","Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AASLPELW","conferencePaper","2016","Moon, So Young; Park, Bo Kyung; Kim, R Young Chul","Code Complexity on Before and After Applying Design Pattern through SW Visualization","2016 International Conference on Platform Technology and Service (PlatCon)","","","","","","2016","2019-06-04 16:25:20","2019-06-04 16:25:20","","1–5","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IC9WZL32","journalArticle","2010","Scalise P, Eugenio G; Favre, Jean-Marie; Zambrano, Nancy","Model-driven reverse engineering and program comprehension: An example","Ingeniare. Revista chilena de ingeniería","","","","","","2010","2019-06-04 16:25:20","2019-06-04 16:25:20","","","","1","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GTIBND4M","journalArticle","2012","Wilson, Leon A; Petrenko, Maksym; Rajlich, Václav","Using concept maps to assist program comprehension and concept location: an empirical study","Journal of Information & Knowledge Management","","","","","","2012","2019-06-04 16:25:20","2019-06-04 16:25:20","","1250018","","03","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2YBYI5E8","journalArticle","2010","Vans, Marie; Adams, Guy; Simske, Steven","Error-Correcting Code (ECC) and Module Size Considerations in 2D Aztec Barcode Readability","Journal of Imaging Science and Technology","","","","","","2010","2019-06-04 16:25:20","2019-06-04 16:25:20","","60405–1","","6","54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4Y4BFJXR","journalArticle","2015","Peng, Chao; Zhou, Jie; Zhu, Binhai; Zhu, Hong","Complexity analysis and algorithms for the Program Download Problem","Journal of Combinatorial Optimization","","","","","","2015","2019-06-04 16:25:20","2019-06-04 16:25:20","","216–227","","1","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36448TUZ","journalArticle","2014","Marual-Gillaco, MINARIZA","Level of word recognition and reading comprehension: A basis for a reading program","Asia Pacific Journal of Education, Arts, and Sciences","","","","","","2014","2019-06-04 16:25:21","2019-06-04 16:25:21","","69–75","","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A4CEWP7L","conferencePaper","2010","Reniers, Dennie; Voinea, Lucian; Ersoy, Ozan; Telea, Alexandru","A Visual Analytics Toolset for Program Structure, Metrics, and Evolution Comprehension","Proceedings of the 3rd Intl. Workshop on Academic Software Development Tools and Techniques (WASDeTT-3)","","","","","","2010","2019-06-04 16:25:21","2019-06-04 16:25:21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SKPITD4H","conferencePaper","2017","Yeh, Martin K-C; Gopstein, Dan; Yan, Yu; Zhuang, Yanyan","Detecting and comparing brain activity in short program comprehension using EEG","2017 IEEE Frontiers in Education Conference (FIE)","","","","","","2017","2019-06-04 16:25:21","2019-06-04 16:25:21","","1–5","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6Q9W4QGB","book","2017","Walkinshaw, Neil","Software Quality Assurance: Consistency in the Face of Complexity and Change","","","","","","","2017","2019-06-04 16:25:21","2019-06-04 16:25:21","","","","","","","","","","","","","Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2H48HFPW","conferencePaper","2011","Bârleanu, Alexandru; Băitoiu, Vadim; Stan, Andrei","Floating-point to fixed-point code conversion with variable trade-off between computational complexity and accuracy loss","15th International Conference on System Theory, Control and Computing","","","","","","2011","2019-06-04 16:25:21","2019-06-04 16:25:21","","1–6","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XIU53379","journalArticle","2015","Kharaghani, Naeemeh; Ghonsooly, Behzad","The impact of vocabulary knowledge on reading comprehension ability of Iranian English learners receiving reciprocal teaching and cooperative grouping intervention program","International Journal of Research Studies in Education","","","","","","2015","2019-06-04 16:25:21","2019-06-04 16:25:21","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YUCR682E","journalArticle","2018","Abdullah-Al-Shafi, Md; Bahar, Ali Newaz","Energy optimized and low complexity 2-dimensional 4 Dot 2 electron flip-flop and quasi code generator in nanoscale","Journal of Nanoelectronics and Optoelectronics","","","","","","2018","2019-06-04 16:25:21","2019-06-04 16:25:21","","856–863","","6","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JLEKCQTB","book","2018","Wlaschin, Scott","Domain Modeling Made Functional: Tackle Software Complexity with Domain-Driven Design and F","","","","","","","2018","2019-06-04 16:25:21","2019-06-04 16:25:21","","","","","","","","","","","","","Pragmatic Bookshelf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78MZ65WE","thesis","2011","Collet, Philippe","Taming Complexity of Large Software Systems: Contracting, Self-Adaptation and Feature Modeling","","","","","","","2011","2019-06-04 16:25:21","2019-06-04 16:25:21","","","","","","","","","","","","","Université Nice Sophia Antipolis","","","","PhD Thesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UV5TVL2D","journalArticle","2018","Kosar, Tomaž; Gaberc, Sašo; Carver, Jeffrey C; Mernik, Marjan","Program comprehension of domain-specific and general-purpose languages: replication of a family of experiments using integrated development environments","Empirical Software Engineering","","","","","","2018","2019-06-04 16:25:22","2019-06-04 16:25:22","","2734–2763","","5","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V84SRCSR","journalArticle","2016","Di Capua, Paul; Wu, Brian; Sednew, Renee; Ryan, Gery; Wu, Shinyi","Complexity in redesigning depression care: comparing intention versus implementation of an automated depression screening and monitoring program","Population health management","","","","","","2016","2019-06-04 16:25:22","2019-06-04 16:25:22","","349–356","","5","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5NLFRQEH","conferencePaper","2010","Roberts, Kelly; Park, Hye Jin; Takahashi, Kiriko","Effectiveness of text-to-speech software features for improving vocabulary, reading comprehension, and reading rate of culturally diverse high school students in Hawai’i","Society for Information Technology & Teacher Education International Conference","","","","","","2010","2019-06-04 16:25:22","2019-06-04 16:25:22","","1606–1611","","","","","","","","","","","Association for the Advancement of Computing in Education (AACE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EX4R3PKH","thesis","2010","Keyes, Starr E","The effects of a computer-assisted reading program on the oral reading fluency, comprehension, and generalization of at-risk, urban second-grade students","","","","","","","2010","2019-06-04 16:25:22","2019-06-04 16:25:22","","","","","","","","","","","","","The Ohio State University","","","","PhD Thesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WJE3BXDH","journalArticle","2017","Thiel, Lindsey; Sage, Karen; Conroy, Paul","Promoting linguistic complexity, greater message length and ease of engagement in email writing in people with aphasia: initial evidence from a study utilizing assistive writing software","International journal of language & communication disorders","","","","","","2017","2019-06-04 16:25:22","2019-06-04 16:25:22","","106–124","","1","52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T67WWCKZ","conferencePaper","2011","Östberg, Per-Olov; Elmroth, Erik","Increasing flexibility and abstracting complexity in service-based grid and cloud software","CLOSER 2011","","","","","","2011","2019-06-04 16:25:22","2019-06-04 16:25:22","","240–249","","","","","","","","","","","SciTePress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5GL6MMFD","journalArticle","2016","Jakhar, Amit Kumar; Rajnish, Kumar","A cognitive measurement of Complexity and Comprehension for Object-oriented Code","World Academy of Science, Engineering and Technology, International Journal of Computer, Electrical, Automation, Control and Information Engineering","","","","","","2016","2019-06-04 16:25:22","2019-06-04 16:25:22","","621–628","","3","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IQH4XRW6","conferencePaper","2015","Pleszkoch, Mark; Linger, Rick","Controlling combinatorial complexity in software and malware behavior computation","Proceedings of the 10th Annual Cyber and Information Security Research Conference","","","","","","2015","2019-06-04 16:25:22","2019-06-04 16:25:22","","15","","","","","","","","","","","ACM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GF9FJVHN","journalArticle","2014","Antinyan, Vard","Monitoring evolution of code complexity and magnitude of changes","Acta Cybernetica","","","","","","2014","2019-06-04 16:25:22","2019-06-04 16:25:22","","367–382","","3","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WQPHFNWQ","journalArticle","2010","Smith, Jason McColm","The Pattern Instance Notation: A Simple Hierarchical Visual Notation for the Dynamic Visualization and Comprehension of Software Patterns","Electronic Communications of the EASST","","","","","","2010","2019-06-04 16:25:23","2019-06-04 16:25:23","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TNCEDT5S","bookSection","2015","Lavania, Siddharth; Darbari, Manuj; Ahuja, Neelu J; Siddqui, Imran Ali","Genetic algorithms-fuzzy based trade-off adjustment between software complexity and deliverability","New Trends in Networking, Computing, E-learning, Systems Sciences, and Engineering","","","","","","2015","2019-06-04 16:25:23","2019-06-04 16:25:23","","15–18","","","","","","","","","","","Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LA5HE7FI","conferencePaper","2014","Simons, Christopher L; Smith, Jim","Using evolutionary computation to shed light on the effect of scale and complexity on object-oriented software design","2014 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","","","","","","2014","2019-06-04 16:25:23","2019-06-04 16:25:23","","441–446","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86RW62M5","conferencePaper","2010","Dasgupta, Chandan","That is not my program: Investigating the relation between program comprehension and program authorship","Proceedings of the 48th Annual Southeast Regional Conference","","","","","","2010","2019-06-04 16:25:23","2019-06-04 16:25:23","","103","","","","","","","","","","","ACM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CXU7TBMU","conferencePaper","2015","Maciaszek, Leszek A; Skalniak, Tomasz","Confluent factors, complexity and resultant architectures in modern software engineering: a case of service cloud applications","5th International Symposium on Business Modeling and Software Design, BMSD 2015","","","","","","2015","2019-06-04 16:25:23","2019-06-04 16:25:23","","37–45","","","","","","","","","","","SciTePress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SA5AYAKP","journalArticle","2016","Molinas, Carlos Roger; Campo, Rudi","Retention of laparoscopic psychomotor skills after a structured training program depends on the quality of the training and on the complexity of the task","Gynecological surgery","","","","","","2016","2019-06-04 16:25:23","2019-06-04 16:25:23","","395","","4","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
